Model Year,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,Carline Class,Carline Class Desc,,,,,,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,,,,,,,,,,,,,,,,,,,,,,,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date,EPA FE Label Dataset ID,,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Energy Storage Device Desc,Energy Storage DeviceIf Other,# Batteries,Battery Type Desc,Battery Type If Other,Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Comments,# Capacitors,Regen Braking Type Desc,Regen Braking Type If Other,Regen Braking Wheels Source (Front Rear Both),Driver Cntrl Regen Braking?,Fuel Cell Desc,Usable H2 Fill Capacity (kg),Fuel Cell Onboard H2 Capacity (kg),HEV-EV Comments,# Drive Motor Gen,Motor Gen Type Desc,Motor Gen Type If Other,Rated Motor Gen Power (kW),Fuel Metering Type 1 Desc,Fuel Metering Type 2 Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Stop/Start System (Engine Management System) Code,Stop/Start System (Engine Management System)  Description,Model Type Desc (MFR entered),Charge Depleting Calc Appr Code (PHEV only),Charge Depleting Calc Appr Desc (PHEV only),Charge Sustaining Calc Appr Code (PHEV only),Charge Sustaining Calc Appr Desc (PHEV only),EPA Calculated Annual Fuel Cost,EPA Calculated Gas Guzzler MPG,MFR Calculated Gas Guzzler MPG ,EPA Calculated Gas Guzzler Indicator (Y or N),,FE Rating (1-10 rating on Label),GHG Rating (1-10 rating on Label),GHG 1-10 rating on Ethanol (EPA Determined),#1 Smog Rating Test Group,#1 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 1),#1 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 1),SmartWay1 (EPA-derived SmartWay rating for Test Group 1),#2 Smog Rating Test Group,#2 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 2),#2 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 2),SmartWay2 (EPA-derived SmartWay rating for Test Group 2),#3 Smog Rating Test Group,#3 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 3),#3 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 3),SmartWay3 (EPA-derived SmartWay rating for Test Group 3),#4 Smog Rating Test Group,#4 Mfr Smog Rating (Mfr Smog 1-10 Rating on Label for Test Group 4),#4 EPA Smog Rating (EPA Smog 1-10 Rating on Label for Test Group 4),SmartWay4 (EPA-derived SmartWay rating for Test Group 4),$ You Save over 5 years (amount saved in fuel costs over 5 years - on label) ,$ You Spend over 5 years (increased amount spent in fuel costs over 5 years - on label) ,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted,Comb CO2 Rounded Adjusted (as shown on FE Label),CO2-PHEV Composite Rounded Adjusted Combined CO2,240V Charge Time at 240 volts (hours),120V Charge time at 120 Volts (hours),PHEV Total Driving Range (rounded to nearest 10 miles)DISTANCE,City PHEV Composite MPGe,Hwy PHEV Composite MPGe,Comb PHEV Composite MPGe
2021,10.4,18.2,12.885,4450,1,Two Seaters,,,,,,10.4,18.2,12.885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4450,4450,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Vehicle Specific 5-cycle label,11/13/2020,28529,,Y,N,,,N,N,Engine Code (DALA). CHARGE AIR COOLER (AIR / LIQUID) - - SFI/AIR/4WUTWC/2TWC/4TC/2CAC/4HO2S(2)/ORVR. This configuration is in the Bugatti Chiron.,Y,16 - 8 cylinder deactivation capability.,Y,INLET AND OUTLET CONTINUOUSLY VARIABLE / MECHANICAL-HYDRAULIC,N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,10W60 VW 50101 / 50500,N,No,,,,,,,,13,,,1,1,,MVGAV08.0GLB,1,,,,,,,,,,,,,,,,14750,1010,632,840,,,,,,,
2021,10.1013,17.3115,12.4312,4900,1,Two Seaters,,,,,,10.1013,17.3115,12.4312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4900,4900,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,11/13/2020,28540,,Y,N,,,N,N,Engine Code (DALA). CHARGE AIR COOLER (AIR / LIQUID) - - SFI/AIR/4WUTWC/2TWC/4TC/2CAC/4HO2S(2)/ORVR. This configuration is in the Bugatti Chiron.,Y,16 - 8 cylinder deactivation capability.,Y,INLET AND OUTLET CONTINUOUSLY VARIABLE / MECHANICAL-HYDRAULIC,N,,,,,,,,,,,,,,,,,,,,,,,,,,,MFI,Multipoint/sequential fuel injection,,,N,10W60 VW 50101 / 50500,N,No,,,,,,,,12.5,,,1,1,,MVGAV08.0GLB,1,,,,,,,,,,,,,,,,17000,1055,695,893,,,,,,,
2021,18,35.8,23.1882,2550,1,Two Seaters,,,,,,18,35.8,23.1882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2550,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Vehicle Specific 5-cycle label,11/5/2020,28543,,N,N,,,N,N,ZERV Y2 Engine,Y,Active Fuel Management,Y,Dual equal cam phaser single cam continuously variable.,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W40,N,No,,,,,,,,22.8,,,3,3,,MGMXV06.2091,3,,,,,,,,,,,,,,,,5250,581,329,467,,,,,,,
2021,14.6801,20.6973,16.8897,3750,1,Two Seaters,,,,,,14.6801,20.6973,16.8897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3750,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,7/1/2020,27477,,Y,N,,,N,N,812 GTS,N,Not applicable.,Y,See application.,N,Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,N,,N,5W40,Y,Yes,812 GTS,,,,,,,16.9,,,1,1,,MFEXV06.5GDI,3,,,,,,,,,,,,,,,,11250,733,581,665,,,,,,,
2021,14.3844,21.6452,16.9418,3750,1,Two Seaters,,,,,,14.3844,21.6452,16.9418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750,3750,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,7/1/2020,27369,,Y,N,,,N,N,812 GTS,N,Not applicable.,Y,See application.,N,Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,N,,N,5W40,Y,Yes,812 Superfast,,,,,,,16.9,,,1,1,,MFEXV06.5GDI,3,,,,,,,,,,,,,,,,11250,747,557,661,,,,,,,
2021,17.9004,24.9197,20.4987,3050,1,Two Seaters,,,,,,17.9004,24.9197,20.4987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050,3050,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,7/1/2020,27430,,Y,N,,,N,N,F8 Tributo; F8 Spider.,N,Not applicable.,Y,Variable camshaft timing for exhaust and inlet.,N,Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,N,,N,5W40,Y,Yes,F8 Spider,,,,,,,20.5,,,2,2,,MFEXV03.9TUR,3,,,,,,,,,,,,,,,,7750,606,487,552,,,,,,,
2021,18.0066,26.2996,20.9842,3050,1,Two Seaters,,,,,,18.0066,26.2996,20.9842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050,3050,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,7/1/2020,27367,,Y,N,,,N,N,F8 Tributo; F8 Spider.,N,Not applicable.,Y,Variable camshaft timing for exhaust and inlet.,N,Not applicable.,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,N,,N,5W40,Y,Yes,F8 Tributo,,,,,,,21,,,2,2,,MFEXV03.9TUR,3,,,,,,,,,,,,,,,,7750,605,462,541,,,,,,,
2021,14.4752,25.3144,17.93,3500,1,Two Seaters,,,,,,14.4752,25.3144,17.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3500,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,12/11/2020,28505,,N,N,,,N,N,3.5L Ford GT,N,,Y,TiVCT,N,,,,,,,,,,,,,,,,,,,,,,,,,,,GDPI,Spark Ignition direct & ported injection,,,N,5W-50 API SN,N,No,,,,,,,,18.1,,,1,1,,MFMXV03.5VGT,3,,,,,,,,,,,,,,,,10000,752,485,632,,,,,,,
2021,29.4134,42.9021,34.2607,1900,1,Two Seaters,,,,,,29.4134,42.9021,34.2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1900,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,2/18/2020,30597,,Y,N,,,N,N,,N,,Y,Inlet and Exhaust Camshaft Phasing controlled by Engine Management System,Y,Continuously variable inlet valve lift,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,N,N,N,5W20 GF4,Y,Yes,F-Type Convertible,,,,,,,34.5,,,5,5,,MJLXJ02.0RTX,7,,,,,,,,,,,,,,,,2000,386,296,346,,,,,,,
2021,29.4134,42.9021,34.2607,1900,1,Two Seaters,,,,,,29.4134,42.9021,34.2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1900,,,,,,,,,,,,,,,,,,,,,,,1,Two Seaters,car,Derived 5-cycle label,2/18/2020,30598,,Y,N,,,N,N,,N,,Y,Inlet and Exhaust Camshaft Phasing controlled by Engine Management System,Y,Continuously variable inlet valve lift,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,N,N,N,5W20 GF4,Y,Yes,F-Type Coupe,,,,,,,34.5,,,5,5,,MJLXJ02.0RTX,7,,,,,,,,,,,,,,,,2000,386,296,346,,,,,,,
